Center;Sub;Subject ;SubAnimacy;Verb;DO;Comp;sem_humq;sem_abstract;sem_freq;sem_physq;sem_size;sem_quant;sem_dist;sem_speed;k1_sem;k1_rank;;;;;;;
 куда как AdvComp;1;число;0;0;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;1;реакция;0;быть;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;1;забава;0;смотреться;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;находиться;0;1;0;0;0;1;0;0;0;0;physq;qual;;;;;;;
 куда как Adv;0;0;0;0;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;станет легче;0;1;0;0;0;0;1;0;0;0;size;qual;;;;;;;
 куда как AdvComp;0;0;0;сделать;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;переставлять;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;1;условия;0;0;0;1;0;0;0;1;0;0;0;0;physq;qual;;;;;;;
 куда как Adv;1;хранилище;0;вмещать;0;0;0;0;0;0;0;1;0;0;quant;qual;;;;;;;
 куда как AdvComp;1;я;0;любить;1;1;0;0;0;0;1;0;0;0;size;qual;;;;;;;
 куда как AdvComp;0;0;0;0;1;1;0;0;0;0;1;0;0;0;size;qual;;;;;;;
 куда как Adv;1;дружина;0;изодеть;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;0;0;0;0;1;0;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;0;0;0;0;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;она;1;чувствовать;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как Adv;0;0;0;0;0;0;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;1;описание;0;быть;1;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;1;трактор;0;выглядеть;0;0;0;0;0;1;0;0;0;0;physq;qual;;;;;;;
 куда как AdvComp;1;что;0;0;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;1;правда;0;0;1;1;0;0;0;0;1;0;0;0;size;qual;;;;;;;
 куда как AdvComp;0;0;0;противостоять;1;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;оно;0;казаться;1;1;0;0;0;0;1;0;0;0;size;qual;;;;;;;
 куда как Adv;1;я;1;понимать;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;1;человечество;0;обрести;1;0;0;0;0;0;0;1;0;0;quant;qual;;;;;;;
 куда как AdvComp;1;отношения;0;складываться;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;жизнеописания;0;представить;0;1;0;0;0;0;1;0;0;0;size;qual;;;;;;;
 куда как AdvComp;1;православие ;0;быть;0;1;0;0;0;0;0;0;1;0;dist;qual;;;;;;;
 куда как AdvComp;0;0;0;0;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
